Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhood  District,Location,RowID
163664050,E39,16146990,Citizen Assist / Service Call,12/31/2016,12/31/2016,12/31/2016 11:57:56 PM,12/31/2016 11:59:31 PM,12/31/2016 11:59:42 PM,01/01/2017 12:01:47 AM,01/01/2017 12:04:18 AM,,,Fire,01/01/2017 12:24:11 AM,0 Block of BALCETA AVE,San Francisco,94127,B08,39,8644,3,3,3,true,Alarm,1,ENGINE,1,8,7,West of Twin Peaks,"(37.745858648581, -122.456664252061)",163664050-E39
163664036,E38,16146989,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:52:01 PM,12/31/2016 11:55:04 PM,12/31/2016 11:55:20 PM,12/31/2016 11:55:34 PM,01/01/2017 12:00:32 AM,,,Code 2 Transport,01/01/2017 12:06:02 AM,0 Block of MARINA BLVD,San Francisco,94123,B04,16,3452,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,2,Marina,"(37.8051625655624, -122.432957440518)",163664036-E38
163664036,AM30,16146989,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:52:01 PM,12/31/2016 11:55:04 PM,12/31/2016 11:55:20 PM,12/31/2016 11:56:13 PM,01/01/2017 12:00:47 AM,01/01/2017 12:25:07 AM,01/01/2017 12:41:13 AM,Code 2 Transport,01/01/2017 01:12:11 AM,0 Block of MARINA BLVD,San Francisco,94123,B04,16,3452,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,4,2,Marina,"(37.8051625655624, -122.432957440518)",163664036-AM30
163664020,E10,16146988,Outside Fire,12/31/2016,12/31/2016,12/31/2016 11:48:17 PM,12/31/2016 11:49:12 PM,12/31/2016 11:49:20 PM,12/31/2016 11:50:20 PM,12/31/2016 11:53:57 PM,,,Fire,12/31/2016 11:54:53 PM,SACRAMENTO ST/BAKER ST,San Francisco,94115,B04,10,4264,3,3,3,true,Fire,1,ENGINE,1,4,2,Pacific Heights,"(37.7885701888359, -122.44394001715)",163664020-E10
163664007,KM204,16146987,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:44:51 PM,12/31/2016 11:46:40 PM,12/31/2016 11:47:00 PM,12/31/2016 11:49:24 PM,12/31/2016 11:55:13 PM,,,Patient Declined Transport,12/31/2016 11:55:33 PM,500 Block of SOUTH VAN NESS AVE,San Francisco,94110,B02,07,5246,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,3,2,9,Mission,"(37.7643732096664, -122.417478491468)",163664007-KM204
163664007,KM03,16146987,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:44:51 PM,12/31/2016 11:46:40 PM,12/31/2016 11:52:10 PM,12/31/2016 11:53:42 PM,12/31/2016 11:53:42 PM,,,Patient Declined Transport,01/01/2017 12:23:56 AM,500 Block of SOUTH VAN NESS AVE,San Francisco,94110,B02,07,5246,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,1,2,9,Mission,"(37.7643732096664, -122.417478491468)",163664007-KM03
163664007,BS105,16146987,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:44:51 PM,12/31/2016 11:46:40 PM,12/31/2016 11:47:00 PM,12/31/2016 11:49:21 PM,12/31/2016 11:53:55 PM,,,Patient Declined Transport,01/01/2017 12:02:02 AM,500 Block of SOUTH VAN NESS AVE,San Francisco,94110,B02,07,5246,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,2,9,Mission,"(37.7643732096664, -122.417478491468)",163664007-BS105
163664005,KM01,16146986,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:46:19 PM,12/31/2016 11:46:19 PM,12/31/2016 11:48:33 PM,12/31/2016 11:49:04 PM,,,,Unable to Locate,12/31/2016 11:56:43 PM,HARRISON ST/6TH ST,San Francisco,94103,B03,08,2254,2,2,2,false,Non Life-threatening,1,PRIVATE,1,3,6,South of Market,"(37.7772727011897, -122.404070256526)",163664005-KM01
163663994,E06,16146985,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:41:55 PM,12/31/2016 11:43:52 PM,12/31/2016 11:44:44 PM,12/31/2016 11:45:06 PM,12/31/2016 11:46:47 PM,,,Code 2 Transport,12/31/2016 11:52:51 PM,2000 Block of MARKET ST,San Francisco,94114,B02,06,5213,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,8,Castro/Upper Market,"(37.769247063207, -122.426955631709)",163663994-E06
163663994,AM16,16146985,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:41:55 PM,12/31/2016 11:43:52 PM,12/31/2016 11:44:44 PM,12/31/2016 11:46:18 PM,12/31/2016 11:49:32 PM,01/01/2017 12:02:25 AM,01/01/2017 12:10:26 AM,Code 2 Transport,01/01/2017 12:38:53 AM,2000 Block of MARKET ST,San Francisco,94114,B02,06,5213,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,2,8,Castro/Upper Market,"(37.769247063207, -122.426955631709)",163663994-AM16
